,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Continent,ISO 3166-1 alpha-3,EmissionsTotal,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
118,Martinique,1950,25.798000000000002,0.2783333333333333,North America,MTQ,0.05496,0.0,0.05496,0.0,0.0,0.0,,0.236903
119,Mauritania,1950,27.309749999999998,0.33949999999999997,Africa,MRT,0.0,,,,0.0,,,0.0
120,Mauritius,1950,23.366416666666666,0.6580833333333334,Africa,MUS,0.20152,0.130615,0.070905,0.0,0.0,0.0,,0.383524
121,Mayotte,1950,26.26275,0.34591666666666665,Africa,MYT,0.0,,,,0.0,,,0.0
122,Mexico,1950,21.25675,0.17758333333333334,North America,MEX,30.507611,1.857648,23.680432,1.535216,0.755931,2.678384,,1.105343
123,Moldova,1950,9.625083333333334,0.3433333333333333,Europe,MDA,6.990035,4.348703,2.509847,0.083995,0.04749,0.0,,2.948995
124,Mongolia,1950,-0.8249166666666666,0.47641666666666665,Asia,MNG,0.285792,0.285792,0.0,0.0,0.0,0.0,,0.365809
125,Montenegro,1950,11.558666666666667,0.47041666666666665,Europe,MNE,0.262829,0.246946,0.015883,0.0,0.0,0.0,,0.653381
126,Montserrat,1950,25.984583333333333,0.29141666666666666,North America,MSR,0.0,,,,,,,0.0
127,Morocco,1950,17.952916666666667,0.403,Africa,MAR,2.55983,0.826881,1.573269,0.0,0.15968,0.0,,0.286136
128,Mozambique,1950,23.407416666666666,0.33925,Africa,MOZ,0.901137,0.715237,0.160563,0.0,0.025337,0.0,,0.152214
129,Namibia,1950,20.434,0.5905833333333333,Africa,NAM,0.0,,,,,,,0.0
130,Nepal,1950,14.65125,0.3105833333333333,Asia,NPL,0.025648,0.0,0.025648,0.0,0.0,0.0,,0.003054
131,Netherlands,1950,9.853333333333333,0.23258333333333334,Europe,NLD,51.286265,42.66728,8.309952,0.014656,0.294377,0.0,,5.081091
132,New Caledonia,1950,23.262583333333335,0.52525,Oceania,NCL,0.21984,0.1832,0.03664,0.0,0.0,0.0,,3.442531
133,New Zealand,1950,10.618,0.3093333333333333,Oceania,NZL,8.569056,5.833088,2.608768,0.0,0.1272,0.0,,4.482643
134,Nicaragua,1950,25.688000000000002,0.43933333333333335,North America,NIC,0.190469,0.0,0.1832,0.0,0.007269,0.0,,0.143162
135,Niger,1950,26.735333333333333,0.51425,Africa,NER,0.0,,,,,,,0.0
136,Nigeria,1950,26.672,0.30391666666666667,Africa,NGA,2.257024,1.729408,0.527616,0.0,0.0,0.0,,0.06069
137,Niue,1950,25.27725,0.5014166666666666,Oceania,NIU,0.0,,,,,,,0.0
138,North Korea,1950,7.225499999999999,0.5776666666666667,Asia,PRK,0.780432,0.373728,0.406704,0.0,0.0,0.0,,0.070288
139,Norway,1950,0.9837500000000001,0.33949999999999997,Europe,NOR,8.43218,4.400464,3.744608,0.0,0.287108,0.0,,2.582499
140,Oman,1950,26.303833333333333,0.5591666666666667,Asia,OMN,0.0,,,,,,,0.0
141,Pakistan,1950,19.694416666666665,0.24250000000000002,Asia,PAK,5.354962,3.354835,1.796257,0.0,0.20387,0.0,,0.142056
142,Palau,1950,27.049916666666665,0.7381666666666667,Oceania,PLW,0.0,,,,,,,0.0
143,Panama,1950,25.975333333333335,0.30033333333333334,North America,PAN,0.523744,0.0,0.498304,0.0,0.02544,0.0,,0.608242
144,Papua New Guinea,1950,24.59358333333333,0.431,Oceania,PNG,0.05496,0.0,0.05496,0.0,0.0,0.0,,0.035622
145,Paraguay,1950,23.434,0.3135833333333333,South America,PRY,0.062288,0.0,0.062288,0.0,0.0,0.0,,0.041393
146,Peru,1950,19.584,0.27616666666666667,South America,PER,4.542024,0.325833,3.928304,0.124476,0.163411,0.0,,0.591489
147,Philippines,1950,26.53216666666667,0.40258333333333335,Asia,PHL,3.604187,0.1832,3.275616,0.0,0.145371,0.0,,0.195139
148,Poland,1950,8.127083333333333,0.3303333333333333,Europe,POL,112.122893,109.18344,1.286106,0.410381,1.242966,0.0,,4.523595
149,Portugal,1950,15.066083333333333,0.28675,Europe,PRT,5.618258,3.191344,2.14344,0.0,0.283474,0.0,,0.667493
150,Puerto Rico,1950,25.108333333333334,0.2524166666666667,North America,PRI,0.0,,,,,,,0.0
151,Qatar,1950,26.293000000000003,0.5595,Asia,QAT,0.351744,0.0,0.351744,0.0,0.0,0.0,,14.482213
152,Reunion,1950,23.06941666666667,0.6444166666666666,Africa,REU,0.025648,0.0,0.025648,0.0,0.0,0.0,,0.10288
153,Romania,1950,9.759,0.32825,Europe,ROU,19.416585,6.718508,6.169012,6.209308,0.319757,0.0,,1.184446
154,Russia,1950,-5.6089166666666666,0.20733333333333334,Europe,RUS,415.034248,329.77532,74.123283,7.931822,3.203823,0.0,,4.045953
155,Rwanda,1950,19.259833333333333,0.3715833333333333,Africa,RWA,0.016854,0.002107,0.014748,0.0,0.0,0.0,,0.007824
156,Saint Kitts And Nevis,1950,25.4755,0.20866666666666667,North America,KNA,0.0,,,,,,,0.0
157,Saint Lucia,1950,26.327333333333332,0.24266666666666667,North America,LCA,0.003664,0.0,0.003664,0.0,0.0,0.0,,0.042263
158,Saint Pierre And Miquelon,1950,4.293333333333334,0.34833333333333333,North America,SPM,0.014656,0.014656,0.0,0.0,0.0,0.0,,3.276548
